_Farmer,BAC1,BAC2,BAC3,BAC4,BAC5,BAC6,BAC7,BAC8,MAD1,MAD2_1,MAD2_2,MAD2_3,MAD2_4,MAD2_5,MAD3_1,MAD3_2,MAD3_3,MAD3_4,MAD3_5,MAD4,INO1_1,INO1_2,INO1_3,INO1_4,INO1_5,INO2,COM1,COM2_1,COM2_2,COM2_3,COM2_4,OUT1_1,OUT1_2,OUT1_3,OUT2,ADO1,ADO2,ADO3,SRI1,SRI2,SRI3,IMP1_1,IMP1_2,IMP1_3,IMP2,ASI1_1,ASI1_2,ASI1_3,_Pick7
Ya,18,0.28,Kurang dari Rp2jt,SMA/SMK,"Ya, keduanya",Bawang merah,Ya,Jawa Tengah,4,1,2,3,4,5,3,3,5,5,5,4,3,3,3,3,3,Kurangnya pengetahuan dan/atau pelatihan,"Universitas atau lembaga pendidikan pertanian, Sumber online (internet, media sosial), Asosiasi atau Kelompok tani",4,4,5,4,3,3,4,"Lebih banyak subsidi dari pemerintah, Akses pelatihan dan pengetahuan yang lebih mudah, Harga teknologi yang lebih terjangkau",1,4,5,4,3,Tidak,5,5,5,Tidak yakin,5,5,2,7
Ya,47,0.27,Kurang dari Rp2jt,Diploma/Sarjana,"Ya, keduanya",Bawang merah,Ya,Jawa Tengah,5,1,2,3,4,5,3,3,3,3,3,5,3,3,3,3,3,"Kurangnya infrastruktur (contoh: internet, listrik)","Sumber online (internet, media sosial), Asosiasi atau Kelompok tani",3,3,3,3,5,5,5,"Infrastruktur internet atau listrik yang lebih baik, Harga teknologi yang lebih terjangkau, Dukungan dari petani lain atau koperasi pertanian",4,5,5,3,5,Tidak,5,5,5,1–3 tahun,5,5,5,7
Ya,49,5,Rp2-5jt,SMA/SMK,"Ya, komputer",Bawang merah,Tidak,Jawa Tengah,5,1,2,3,4,5,3,3,3,3,3,4,3,3,3,3,3,Kurangnya pengetahuan dan/atau pelatihan,"Layanan penyuluhan dari pemerintah, Universitas atau lembaga pendidikan pertanian, Perusahaan atau konsultan swasta, Sumber online (internet, media sosial), Petani lain, Asosiasi atau Kelompok tani, Media (TV, radio, koran)",3,3,3,3,4,5,4,"Lebih banyak subsidi dari pemerintah, Infrastruktur internet atau listrik yang lebih baik, Akses pelatihan dan pengetahuan yang lebih mudah, Harga teknologi yang lebih terjangkau, Dukungan dari petani lain atau koperasi pertanian",3,3,3,3,3,Ya,2,2,2,Kurang dari 1 tahun,3,3,3,7
Ya,39,3.5,Kurang dari Rp2jt,SMA/SMK,"Ya, smartphone",Padi,Tidak,Jawa Tengah,3,1,2,3,4,5,5,5,4,5,4,4,5,5,5,4,3,Kurangnya pengetahuan dan/atau pelatihan,"Layanan penyuluhan dari pemerintah, Perusahaan atau konsultan swasta",5,2,4,3,3,2,5,"Akses pelatihan dan pengetahuan yang lebih mudah, Harga teknologi yang lebih terjangkau",5,5,5,1,4,Ya,5,5,5,Kurang dari 1 tahun,4,4,5,7
Ya,40,2,Kurang dari Rp2jt,SMP,"Ya, smartphone",Cabai,Tidak,Jawa Tengah,5,1,2,3,4,5,1,1,1,1,1,3,5,5,5,3,4,Biaya yang terlalu tinggi,"Sumber online (internet, media sosial), Petani lain, Asosiasi atau Kelompok tani",3,3,3,3,3,1,1,"Lebih banyak subsidi dari pemerintah, Infrastruktur internet atau listrik yang lebih baik, Akses pelatihan dan pengetahuan yang lebih mudah, Harga teknologi yang lebih terjangkau, Dukungan dari petani lain atau koperasi pertanian",3,3,3,3,2,Ya,3,3,3,Tidak yakin,3,3,3,7
Ya,30,1,Rp5-10jt,Diploma/Sarjana,"Ya, smartphone",Padi,Ya,Jawa Tengah,5,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,Biaya yang terlalu tinggi,"Sumber online (internet, media sosial)",5,5,5,5,5,5,5,"Akses pelatihan dan pengetahuan yang lebih mudah, Harga teknologi yang lebih terjangkau, Dukungan dari petani lain atau koperasi pertanian",3,4,4,4,4,Ya,5,5,5,Lebih dari 3 tahun,5,5,5,7
Ya,48,2.25,Rp2-5jt,SMA/SMK,"Ya, smartphone",Padi,Ya,Jawa Tengah,5,1,2,3,4,5,3,3,3,3,3,2,3,2,2,2,2,Kurangnya pengetahuan dan/atau pelatihan,"Sumber online (internet, media sosial)",2,2,2,2,2,3,3,"Lebih banyak subsidi dari pemerintah, Infrastruktur internet atau listrik yang lebih baik, Akses pelatihan dan pengetahuan yang lebih mudah, Harga teknologi yang lebih terjangkau, Dukungan dari petani lain atau koperasi pertanian",3,3,4,3,3,Ya,1,1,  ,Kurang dari 1 tahun,2,2,3,7
Ya,45,0.8,Kurang dari Rp2jt,SMA/SMK,"Ya, smartphone",Padi,Tidak,Jawa Tengah,4,5,4,3,2,1,1,1,1,5,1,3,5,5,5,5,5,Kurangnya pengetahuan dan/atau pelatihan,Petani lain,3,3,3,3,5,5,4,Akses pelatihan dan pengetahuan yang lebih mudah,3,4,3,3,3,Ya,3,2,2,Lebih dari 3 tahun,3,3,3,7
Ya,47,0.27,Kurang dari Rp2jt,Diploma/Sarjana,"Ya, keduanya",Padi,Ya,Jawa Tengah,5,5,4,3,2,1,5,5,4,5,4,5,5,4,4,5,5,"Kurangnya infrastruktur (contoh: internet, listrik)","Sumber online (internet, media sosial)",5,4,5,5,5,4,4,"Infrastruktur internet atau listrik yang lebih baik, Akses pelatihan dan pengetahuan yang lebih mudah",5,5,5,5,5,Tidak,5,4,5,1–3 tahun,5,4,5,7
Ya,46,0.9,Rp10-15jt,Diploma/Sarjana,"Ya, keduanya",Padi,Ya,Jawa Tengah,5,5,4,3,2,1,3,3,2,2,2,4,3,3,3,3,4,Penolakan dari pekerja di ladang,"Sumber online (internet, media sosial)",3,4,3,2,4,3,4,Potensi peningkatan hasil dan mutu pertanian,4,4,4,3,1,Ya,4,3,4,1–3 tahun,4,4,5,7
